Time,Temperature,10 g X,Sound,Light,Pressure,Humidity,Comment
, C, g, dBA, lx, kPa, %RH,
109.44,13.3,0.0,66.1,794,100.42,36.8,
110.40,13.3,0.0,65.9,786,100.45,36.7,
111.36,13.3,0.0,60.2,775,100.38,36.7,
112.32,13.3,0.0,44.1,767,100.40,36.7,
113.28,13.3,0.0,40.0,763,100.37,36.7,
114.24,13.3,0.0,40.0,781,100.41,36.7,
115.20,13.3,0.0,40.0,787,100.41,36.6,
116.16,13.3,0.0,80.4,791,100.38,36.6,
117.12,13.4,-0.3,78.9,776,100.40,36.6,
118.08,13.3,-0.2,54.3,551,100.40,36.6,
119.04,13.4,0.0,60.4,570,100.42,36.6,
120.00,13.3,0.0,57.0,672,100.39,36.5,
120.96,13.4,0.0,45.1,616,100.39,36.5,
121.92,13.4,0.0,76.2,533,100.42,36.5,
122.88,13.4,0.0,40.0,523,100.39,36.5,
123.84,13.4,0.0,80.3,527,100.38,36.5,
124.80,13.4,0.0,58.5,647,100.40,36.5,
125.76,13.4,0.0,42.7,695,100.42,36.4,
126.72,13.3,0.0,43.8,726,100.42,36.5,
127.68,13.3,0.0,40.0,766,100.39,36.4,
128.64,13.3,0.0,69.0,752,100.40,36.4,
129.60,13.3,0.0,78.3,708,100.38,36.4,
130.56,13.4,0.0,59.6,713,100.35,36.4,
131.52,13.4,0.0,46.3,706,100.41,36.4,
132.48,13.5,0.0,41.2,699,100.40,36.4,
133.44,13.5,0.0,75.5,671,100.41,36.4,
134.40,13.7,0.0,68.8,605,100.41,36.4,
135.36,13.8,0.0,49.7,598,100.39,36.4,
136.32,13.9,0.0,40.0,597,100.39,36.3,
137.28,14.1,0.0,40.0,598,100.40,36.3,
138.24,14.2,0.0,61.3,598,100.41,36.3,
139.20,14.3,0.0,67.7,598,100.39,36.3,
140.16,14.4,0.0,71.1,585,100.40,36.3,
141.12,14.6,0.0,59.2,640,100.37,36.3,
142.08,14.7,0.0,40.0,740,100.38,36.2,
143.04,14.8,0.0,68.3,735,100.42,36.1,
144.00,14.9,0.0,40.0,727,100.40,36.1,
144.96,15.0,0.0,68.9,727,100.38,36.0,
145.92,15.1,0.0,40.0,725,100.38,36.0,
146.88,15.3,0.0,73.5,721,100.39,36.0,
147.84,15.4,0.0,76.6,725,100.37,36.0,
148.80,15.5,0.0,77.0,733,100.38,36.0,
149.76,15.6,0.0,73.0,719,100.39,36.0,
150.72,15.7,0.1,80.5,702,100.39,36.0,
151.68,15.8,0.0,47.3,696,100.39,36.0,
152.64,15.9,0.0,69.9,697,100.44,36.0,
153.6,16.0,0.0,76.5,696,100.37,36.0,
154.56,16.1,0.0,40.0,695,100.42,36.0,
155.52,16.2,0.0,65.3,691,100.42,36.0,
156.48,16.2,0.0,77.7,682,100.40,36.0,
157.44,16.3,0.0,68.3,719,100.40,36.1,
158.4,16.4,0.0,83.7,738,100.41,36.1,
159.36,16.5,0.0,76.6,730,100.41,36.1,
160.32,16.6,0.1,83.9,255,100.36,36.1,
161.28,16.7,0.1,40.0,248,100.38,36.1,
162.24,16.8,0.0,66.5,623,100.41,36.1,
163.2,16.9,0.1,61.2,679,100.41,36.1,
164.16,16.9,0.0,68.3,621,100.40,36.1,
165.12,17.0,0.0,67.8,93,100.41,36.1,
166.08,17.1,0.0,50.6,19,100.41,36.0,
167.04,17.1,0.1,56.1,10,100.41,36.0,
168.96,17.3,0.0,40.0,8,100.39,36.0,
169.92,17.4,0.0,78.9,8,100.42,36.0,
170.88,17.4,0.0,69.6,8,100.41,36.0,
171.84,17.5,0.0,40.0,8,100.37,36.0,
172.8,17.6,0.0,63.9,536,100.39,36.0,
173.76,17.6,0.0,51.9,686,100.38,36.0,
174.72,17.7,0.0,84.4,709,100.43,36.0,
175.68,17.7,0.0,59.0,713,100.39,36.0,
176.64,17.8,0.0,65.6,701,100.40,36.0,
177.6,17.9,0.0,48.3,669,100.38,36.0,
178.56,17.9,0.0,64.8,563,100.40,36.0,
179.52,18.0,0.0,88.3,471,100.39,36.0,
180.48,18.0,0.0,68.0,436,100.40,36.1,
181.44,18.1,0.0,57.6,424,100.40,40.0,
182.4,18.1,0.0,53.7,407,100.40,48.0,
183.36,18.2,0.0,66.7,399,100.41,56.0,
184.32,18.2,0.0,66.1,586,100.39,64.0,
185.28,18.3,0.0,62.3,401,100.40,67.0,
186.24,18.3,0.0,56.6,420,100.38,68.0,
187.2,18.4,0.0,57.2,611,100.40,67.0,
188.16,18.4,0.0,68.3,602,100.41,66.0,
189.12,18.5,0.0,40.0,575,100.39,64.0,
190.08,18.5,0.0,78.2,208,100.36,62.0,
191.04,18.6,0.0,70.2,152,100.42,61.0,
192.0,18.6,0.0,40.0,368,100.40,60.0,
192.96,18.7,0.0,40.0,406,100.41,59.0,
193.92,18.7,0.1,67.4,387,100.41,58.0,
194.88,18.7,0.0,69.5,318,100.39,57.0,
195.84,18.8,0.1,54.5,420,100.40,56.0,
196.8,18.8,-0.8,69.0,522,100.39,56.0,
197.76,18.9,-1.0,65.0,624,100.41,56.0,
198.72,18.9,-2.0,45.9,633,100.39,55.0,
199.68,19.0,-0.7,40.0,631,100.43,55.0,
200.64,19.0,-0.8,52.4,630,100.41,55.0,
201.6,19.1,-0.7,77.4,620,100.42,54.0,
202.56,19.1,-0.4,45.4,591,100.38,54.0,
203.52,19.1,-0.2,61.2,193,100.40,54.0,
204.48,19.2,-0.4,73.7,129,100.37,53.0,
205.44,19.2,-0.9,53.0,461,100.40,53.0,
206.4,19.3,-0.9,40.0,607,100.40,53.0,
207.36,19.3,-0.8,71.0,624,100.41,53.0,
208.32,19.4,-0.9,40.0,635,100.40,53.0,
209.28,19.4,0.2,44.9,640,100.39,52.0,
210.24,19.4,-0.2,40.0,642,100.37,52.0,
211.2,19.5,-0.4,40.0,644,100.39,52.0,
212.16,19.5,-0.4,67.4,649,100.42,52.0,
213.12,19.5,-0.9,57.3,658,100.38,52.0,
214.08,19.5,-0.9,53.9,664,100.41,52.0,
215.04,19.6,0.1,40.0,671,100.41,52.0,
216.0,19.6,-0.9,51.6,673,100.40,51.0,
216.96,19.6,-1.0,40.0,670,100.40,51.0,
217.92,19.7,-1.0,54.9,669,100.42,51.0,
218.88,19.7,-0.8,40.0,640,100.39,51.0,
219.84,19.7,-0.7,69.4,631,100.39,51.0,
220.8,19.8,-0.9,66.2,633,100.40,51.0,
221.76,19.8,-0.7,40.0,632,100.42,51.0,
222.72,19.8,0.0,41.3,633,100.39,50.0,
223.68,19.9,0.0,42.7,632,100.43,50.0,
224.64,19.9,0.0,48.8,639,100.42,50.5,
225.6,20.0,0.0,40.0,646,100.38,50.3,
226.56,20.0,0.0,40.0,645,100.39,50.2,
227.52,20.0,0.0,49.5,643,100.40,50.1,
228.48,20.0,0.0,40.0,641,100.40,50.0,
229.44,20.1,0.0,48.6,651,100.39,49.9,
230.4,20.1,0.0,45.1,660,100.40,49.7,
231.36,20.1,0.0,89.8,611,100,43,49,6,
232.32,20.1,0.0,1.80,595,100.41,49.5,
233.28,20.2,0.0,0.40,570,100.41,49.4,
234.24,20.2,0.0,0.75,554,100.41,49.4,
235.2,20.2,0.0,0.58,548,100.40,49.3,
236.16,20.2,0.0,0.60,553,100.41,49.2,
237.12,20.3,0.0,0.72,564,100.39,49.1,
238.08,20.3,0.0,0.41,588,100.39,49.0,
239.04,20.3,0.0,0.78,594,100.42,48.8,
240.00,20.3,0.0,0.57,596,100.40,48.7,
240.96,20.3,0.0,0.77,595,100.40,48.6,
241.92,20.4,0.0,0.73,591,100.42,48.4,
242.88,20.4,0.0,0.54,588,100.42,48.3,
243.84,20.4,0.0,1.65,588,100.43,48.1,
244.80,20.4,0.0,0.51,575,100.39,48.0,
